s4_name,s1_name,note
KLEB11,KLEB11,direct match
164413U12,164413U/2 (aka 164413U12),S1 carries a parenthetical alias; same isolate
163575R,163575R,direct match
NCTC_13368,NCTC_13368,direct match
L0240,L0240,direct match
KLEB12,KLEB12,direct match
921530F,921530F,direct match
1_1_55,1_1_55,direct match
KLEB5,KLEB5,direct match
4_1_44FAA,4_1_44FAA,direct match
K5962,K5962,direct match
ATCC_11296,ATCC_11296,direct match
CFI_127_NDM1,CFI_127_NDM1,direct match
CFI_108_OXA181,CFI_108_OXA181,direct match
2660,2660,direct match
2619,2619,direct match
MDRT1,MDRT1,direct match
2609,2609,direct match
49856,49856,direct match
CFI_131_KPC2,CFI_131_KPC2,direct match
MKP103,MKP103 (aka KPNIH1),S1 carries a parenthetical alias; same isolate
46704,46704,direct match
45071,45071,direct match
NCTC_13438,NCTC_13438,direct match
CFI_141_KPC3,CFI_141_KPC3,direct match
51851,51851,direct match
KLEB9,KLEB9,direct match
L0549,L0549,direct match
L0506,L0506,direct match
KLEB6,KLEB6,direct match
K6500,K6500,direct match
K5864,K5864,direct match
164121Y,164121Y,direct match
164358U,164358U,direct match
L0593,L0593,direct match
KLEB7,KLEB7,direct match
RSUH15,RSUH15,direct match
80528,80528,direct match
KLEB2,KLEB2,direct match
MGH_78578,MGH_78578,direct match
KLEB10,KLEB10,direct match
NCTC 7427,NCTC_7427,space vs underscore between S4 and S1
KPUK02,KPUK02,direct match
L0644,L0644,direct match
163895Q,163895Q,direct match
L0747,L0747,direct match
922221W,922221W,direct match
L1522,L1522,direct match
L0738,L0738,direct match
TW3,TW3,direct match
M6,M6,direct match
164125A,164125A,direct match
K6310,K6310,direct match
KLEB3,KLEB3,direct match
KLEB4,KLEB4,direct match
163862E,163862E,direct match
L1392,L1392,direct match
16,16 (aka KP16),S1 carries a parenthetical alias; same isolate
CFI_110_OXA232,CFI_110_OXA232,direct match
CFI_119_OXA48,CFI_119_OXA48,direct match
CFI_147_OXA48,CFI_147_OXA48,direct match
CFI_118_NDM1,CFI_118_NDM1,direct match
CFI_134_NDM1,CFI_134_NDM1,direct match
KPUK01,KPUK01,direct match
CFI_014_VIM4,CFI_014_VIM4,direct match
18,18,direct match
CFI_128_NDM1,CFI_128_NDM1,direct match
KPUK04a,KPUK04a,direct match
NCTC_13443,NCTC_13443,direct match
CFI_146_OXA48,CFI_146_OXA48,direct match
CFI_001_VIM1,CFI_001_VIM1,direct match
KLEB14,KLEB14,direct match
KPTR8,KPTR8,direct match
KLEB13,KLEB13,direct match
