serotype,n_occ,n_pairs,motif_width,median,minimum,maximum,pairs_below_30,pairs_below_40
K49,3,3,40,12.5,12.5,100.0,2,2
K36,7,21,29,17.2,6.9,100.0,15,19
K63,6,15,29,17.2,10.3,96.6,11,13
K65,4,6,57,17.5,12.3,98.2,5,5
K8,5,10,38,18.4,10.5,94.7,8,8
K32,3,3,53,18.9,18.9,100.0,2,2
K12,5,10,26,19.2,15.4,100.0,7,7
K13,9,36,41,19.5,12.2,100.0,29,29
K26,3,3,55,20.0,20.0,100.0,2,2
K47,3,3,55,20.0,20.0,100.0,2,2
K11,7,21,29,20.7,10.3,100.0,18,18
K54,4,6,29,20.7,6.9,100.0,5,5
K14,8,28,28,21.4,7.1,92.9,23,25
K31,4,6,39,21.8,10.3,100.0,5,5
K43,3,3,80,23.8,21.3,67.5,2,2
K30,6,15,29,24.1,10.3,100.0,9,13
K74,5,10,29,24.1,17.2,100.0,7,7
K1,4,6,40,25.0,15.0,87.5,3,5
K64,10,45,28,25.0,3.6,100.0,34,38
K24,4,6,21,26.2,23.8,100.0,5,5
K58,3,3,57,26.3,26.3,100.0,2,2
K29,6,15,29,31.0,10.3,100.0,7,11
K61,4,6,80,39.4,37.5,91.2,0,3
K25,4,6,57,41.2,14.0,93.0,3,3
K19,4,6,99,55.6,12.1,100.0,3,3
K3,4,6,57,57.9,15.8,100.0,3,3
K33,5,10,99,98.5,94.9,100.0,0,0
