phage,strain,label
Roth37,KLEB11,0
Roth37,164413U12,0
Roth37,163575R,0
Roth37,NCTC_13368,0
Roth37,L0240,0
Roth37,KLEB12,0
Roth37,921530F,0
Roth37,1_1_55,0
Roth37,KLEB5,0
Roth37,4_1_44FAA,0
Roth37,K5962,0
Roth37,ATCC_11296,0
Roth37,CFI_127_NDM1,0
Roth37,CFI_108_OXA181,0
Roth37,2660,0
Roth37,2619,0
Roth37,2609,1
Roth37,49856,0
Roth37,CFI_131_KPC2,0
Roth37,MKP103,0
Roth37,46704,0
Roth37,45071,0
Roth37,NCTC_13438,0
Roth37,CFI_141_KPC3,0
Roth37,51851,1
Roth37,KLEB9,0
Roth37,L0549,0
Roth37,L0506,0
Roth37,KLEB6,0
Roth37,K6500,1
Roth37,K5864,0
Roth37,164121Y,0
Roth37,164358U,0
Roth37,L0593,0
Roth37,KLEB7,0
Roth37,RSUH15,0
Roth37,80528,0
Roth37,KLEB2,0
Roth37,MGH_78578,0
Roth37,KLEB10,0
Roth37,NCTC 7427,1
Roth37,KPUK02,0
Roth37,L0644,0
Roth37,163895Q,0
Roth37,L0747,0
Roth37,922221W,0
Roth37,L1522,0
Roth37,L0738,0
Roth37,TW3,0
Roth37,M6,0
Roth37,164125A,0
Roth37,K6310,0
Roth37,KLEB3,0
Roth37,KLEB4,0
Roth37,L1392,0
Roth37,16,0
Roth37,CFI_110_OXA232,0
Roth37,CFI_119_OXA48,0
Roth37,CFI_147_OXA48,0
Roth37,CFI_118_NDM1,0
Roth37,CFI_134_NDM1,1
Roth37,KPUK01,0
Roth37,CFI_014_VIM4,0
Roth37,18,0
Roth37,CFI_128_NDM1,0
Roth37,KPUK04a,0
Roth37,NCTC_13443,0
Roth37,CFI_146_OXA48,0
Roth37,CFI_001_VIM1,0
Roth37,KLEB14,0
Roth37,KPTR8,0
Roth37,KLEB13,0
Roth39,KLEB11,0
Roth39,164413U12,0
Roth39,163575R,0
Roth39,NCTC_13368,0
Roth39,L0240,0
Roth39,KLEB12,0
Roth39,921530F,0
