medium,mapping,scope,stratum,n,n_pos,base_rate,roc_auc,roc_lo_pair,roc_hi_pair,roc_lo_phage,roc_hi_phage,pr_auc,lift,n_phages
LB,strict,all hosts,novel,1706,307,18.0,0.647,0.612,0.681,0.617,0.676,0.271,1.51,26
LB,strict,all hosts,related,289,13,4.5,0.351,0.202,0.534,0.241,0.413,0.039,0.86,4
LB,strict,all hosts,near-identical,1616,166,10.3,0.403,0.358,0.452,0.384,0.423,0.083,0.81,22
LB,strict,seen capsules only,novel,1347,215,16.0,0.649,0.603,0.697,0.618,0.681,0.279,1.75,26
LB,strict,seen capsules only,related,225,11,4.9,0.318,0.187,0.465,0.296,0.348,0.038,0.77,4
LB,strict,seen capsules only,near-identical,1270,144,11.3,0.426,0.377,0.48,0.401,0.454,0.101,0.89,22
LB,permissive,all hosts,novel,1924,525,27.3,0.618,0.589,0.647,0.586,0.652,0.369,1.35,26
LB,permissive,all hosts,related,296,20,6.8,0.281,0.163,0.412,0.183,0.343,0.05,0.74,4
LB,permissive,all hosts,near-identical,1628,178,10.9,0.416,0.371,0.46,0.397,0.436,0.091,0.83,22
LB,permissive,seen capsules only,novel,1508,376,24.9,0.604,0.569,0.639,0.575,0.637,0.355,1.42,26
LB,permissive,seen capsules only,related,232,18,7.8,0.269,0.176,0.382,0.221,0.336,0.056,0.72,4
LB,permissive,seen capsules only,near-identical,1276,150,11.8,0.428,0.377,0.481,0.403,0.455,0.105,0.89,22
TSB,strict,all hosts,novel,1573,433,27.5,0.629,0.598,0.66,0.597,0.662,0.367,1.33,26
TSB,strict,all hosts,related,291,11,3.8,0.282,0.127,0.468,0.133,0.398,0.029,0.78,4
TSB,strict,all hosts,near-identical,1612,194,12.0,0.46,0.418,0.503,0.438,0.485,0.107,0.89,22
TSB,strict,seen capsules only,novel,1234,325,26.3,0.654,0.616,0.69,0.628,0.681,0.415,1.58,26
TSB,strict,seen capsules only,related,227,10,4.4,0.277,0.13,0.465,0.172,0.377,0.032,0.73,4
TSB,strict,seen capsules only,near-identical,1267,163,12.9,0.493,0.445,0.542,0.462,0.529,0.128,0.99,22
TSB,permissive,all hosts,novel,1924,784,40.7,0.596,0.57,0.621,0.566,0.633,0.484,1.19,26
TSB,permissive,all hosts,related,296,16,5.4,0.243,0.129,0.375,0.129,0.386,0.038,0.71,4
TSB,permissive,all hosts,near-identical,1628,210,12.9,0.472,0.432,0.515,0.447,0.498,0.118,0.92,22
TSB,permissive,seen capsules only,novel,1508,599,39.7,0.608,0.58,0.639,0.575,0.649,0.507,1.28,26
TSB,permissive,seen capsules only,related,232,15,6.5,0.252,0.145,0.378,0.166,0.369,0.046,0.71,4
TSB,permissive,seen capsules only,near-identical,1276,172,13.5,0.495,0.446,0.542,0.463,0.53,0.134,0.99,22
