Assembly	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details
102KP-HG	KL151	unknown (KL151)	Typeable		99.67%	100.00%	-3 bp	17 / 21 (80.95%)	KL151_01_galF,99.33%,100.00%;KL151_02_cpsACP,99.52%,100.00%;KL151_03_wzi,99.37%,100.00%;KL151_04_wza,100.00%,100.00%;KL151_05_wzb,100.00%,100.00%;KL151_06_wzc,99.86%,100.00%;KL151_07,100.00%,100.00%;KL151_08_wcaJ,99.78%,100.00%;KL151_09,100.00%,100.00%;KL151_10_pglI,99.29%,100.00%;KL151_11_wzy,98.98%,100.00%;KL151_12,99.20%,100.00%;KL151_13_wfgD,99.67%,100.00%;KL151_14,100.00%,100.00%;KL151_15,99.74%,100.00%;KL151_16_gnd,100.00%,100.00%;KL151_17_rmlB,99.72%,100.00%;KL151_18_rmlA,100.00%,100.00%;KL151_19_rmlD,100.00%,100.00%;KL151_20_rmlC,98.91%,100.00%;KL151_21_ugd,99.74%,100.00%		0		0 / 21 (0.00%)		1	KL150_19_gmd,90.72%,100.00%		
1210	KL22	K22	Typeable		99.72%	100.00%	1 bp	14 / 18 (77.78%)	KL22_01_galF,100.00%,100.00%;KL22_02_cpsACP,99.52%,100.00%;KL22_03_wzi,100.00%,100.00%;KL22_04_wza,99.74%,100.00%;KL22_05_wzb,100.00%,100.00%;KL22_06_wzc,100.00%,100.00%;KL22_07_wzy,99.48%,100.00%;KL22_08,100.00%,100.00%;KL22_09,98.99%,100.00%;KL22_10_wfeD,99.17%,100.00%;KL22_11_wzx,100.00%,100.00%;KL22_12_rutE,99.72%,100.00%;KL22_13,100.00%,100.00%;KL22_14,99.02%,100.00%;KL22_15_wcaJ,100.00%,100.00%;KL22_16_gnd,99.79%,100.00%;KL22_17,99.70%,100.00%;KL22_18_ugd,99.74%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,99.18%,96.58%;KL150_19_gmd,100.00%,100.00%		
132	KL39	K39	Typeable	?4	99.19%	99.62%	n/a	18 / 20 (90.00%)	KL39_01_galF,100.00%,100.00%;KL39_02_cpsACP,91.39%,100.00%;KL39_03_wzi,97.48%,100.00%;KL39_04_wza,99.59%,63.76%,partial;KL39_04_wza,98.68%,39.95%,partial;KL39_05_wzb,100.00%,100.00%;KL39_06_wzc,99.86%,100.00%;KL39_07,100.00%,60.82%,partial;KL39_07,99.05%,28.77%,partial;KL39_08_wzy,100.00%,100.00%;KL39_09_mshA,99.10%,100.00%;KL39_10_epsH,100.00%,100.00%;KL39_11_epsJ,99.70%,98.50%,partial;KL39_12_wzx,99.79%,100.00%;KL39_13,100.00%,100.00%;KL39_14,99.69%,100.00%;KL39_15_wbaZ,100.00%,100.00%;KL39_16_wcaJ,100.00%,100.00%;KL39_17_gnd,99.57%,100.00%;KL39_18_manC,99.58%,100.00%;KL39_19_manB,99.12%,100.00%;KL39_20_ugd,99.48%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.40%,100.00%		
1446	KL39	K39	Typeable		99.28%	100.00%	1 bp	18 / 20 (90.00%)	KL39_01_galF,100.00%,100.00%;KL39_02_cpsACP,91.39%,100.00%;KL39_03_wzi,97.69%,100.00%;KL39_04_wza,100.00%,100.00%;KL39_05_wzb,100.00%,100.00%;KL39_06_wzc,99.86%,100.00%;KL39_07,99.73%,100.00%;KL39_08_wzy,100.00%,100.00%;KL39_09_mshA,99.10%,100.00%;KL39_10_epsH,100.00%,100.00%;KL39_11_epsJ,99.70%,100.00%;KL39_12_wzx,99.79%,100.00%;KL39_13,100.00%,100.00%;KL39_14,99.69%,100.00%;KL39_15_wbaZ,100.00%,100.00%;KL39_16_wcaJ,100.00%,100.00%;KL39_17_gnd,99.57%,100.00%;KL39_18_manC,99.79%,100.00%;KL39_19_manB,99.78%,100.00%;KL39_20_ugd,99.48%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,98.42%,99.74%;KL150_19_gmd,99.70%,100.00%		
1468	KL7	K7	Typeable		99.52%	100.00%	0 bp	20 / 20 (100.00%)	KL7_01_galF,99.66%,100.00%;KL7_02_cpsACP,98.09%,100.00%;KL7_03_wzi,99.79%,100.00%;KL7_04_wza,99.47%,100.00%;KL7_05_wzb,99.31%,100.00%;KL7_06_wzc,99.86%,100.00%;KL7_07_wcuE,99.39%,100.00%;KL7_08_wckC,99.38%,100.00%;KL7_09_wcuC,99.42%,100.00%;KL7_10_wzy,99.74%,100.00%;KL7_11_wckD,99.72%,100.00%;KL7_12_wclS,99.72%,100.00%;KL7_13_wcuJ,100.00%,100.00%;KL7_14_wzx,99.17%,100.00%;KL7_15_wbaZ,100.00%,100.00%;KL7_16_wcaJ,99.35%,100.00%;KL7_17_gnd,99.57%,100.00%;KL7_18_manC,99.79%,100.00%;KL7_19_manB,99.56%,100.00%;KL7_20_ugd,99.48%,100.00%		0		0 / 20 (0.00%)		4	KL40_03_wcpO,99.59%,100.00%;KL40_04,99.25%,100.00%;KL40_05_rfaG,99.21%,100.00%;KL150_19_gmd,99.10%,100.00%		
156KP-HG	KL13	K13	Typeable	?2	99.60%	99.89%	n/a	19 / 19 (100.00%)	KL13_01_galF,99.67%,100.00%;KL13_02_cpsACP,98.91%,100.00%;KL13_03_wzi,99.80%,100.00%;KL13_04_wza,100.00%,100.00%;KL13_05_wzb,100.00%,100.00%;KL13_06_wzc,99.86%,100.00%;KL13_07_wcuD,100.00%,100.00%;KL13_08_wclX,99.74%,100.00%;KL13_09_wzy,100.00%,100.00%;KL13_10_wcuF,100.00%,100.00%;KL13_11_wzx,99.38%,100.00%;KL13_12_wcuL,99.37%,100.00%;KL13_13_wcoW,99.08%,100.00%;KL13_14,98.60%,100.00%;KL13_15_wcaJ,100.00%,100.00%;KL13_16_gnd,99.79%,100.00%;KL13_17_manC,99.58%,100.00%;KL13_18_manB,99.57%,98.29%;KL13_19_ugd,98.97%,100.00%		0		1 / 19 (5.26%)	KL13_17_manC,99.58%,100.00%	3	KL50_10,99.62%,100.00%;KL150_19_gmd,98.50%,100.00%;KL137_19,100.00%,100.00%		
1572	KL153	unknown (KL153)	Typeable	?2!	98.63%	100.00%	n/a	20 / 20 (100.00%)	KL153_01_galF,100.00%,100.00%;KL153_02_cpsACP,99.52%,100.00%;KL153_03_wzi,75.00%,4.87%,truncated,below_id_threshold;KL153_04_wza,100.00%,100.00%;KL153_05_wzb,100.00%,100.00%;KL153_06_wzc,99.58%,100.00%;KL153_07,100.00%,100.00%;KL153_08_wcuD,99.49%,100.00%;KL153_09_wcuC,99.73%,100.00%;KL153_10_wcuI,100.00%,100.00%;KL153_11_manC,100.00%,100.00%;KL153_12_manB,99.56%,100.00%;KL153_13_wbaZ,100.00%,100.00%;KL153_14_wbaP,100.00%,100.00%;KL153_15_wctH,100.00%,100.00%;KL153_16_wctI,100.00%,100.00%;KL153_17_wzx,100.00%,100.00%;KL153_18_wcuJ,100.00%,100.00%;KL153_19_gnd,99.79%,100.00%;KL153_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		4	KL40_03_wcpO,99.80%,100.00%;KL40_04,99.50%,100.00%;KL40_05_rfaG,99.47%,100.00%;KL150_19_gmd,99.10%,100.00%	KL153_03_wzi,75.00%,4.87%,truncated,below_id_threshold	
159KP-HG	KL17	K17	Typeable		100.00%	100.00%	0 bp	20 / 20 (100.00%)	KL17_01_galF,100.00%,100.00%;KL17_02_cpsACP,100.00%,100.00%;KL17_03_wzi,100.00%,100.00%;KL17_04_wza,100.00%,100.00%;KL17_05_wzb,100.00%,100.00%;KL17_06_wzc,100.00%,100.00%;KL17_07_wzy,100.00%,100.00%;KL17_08_wctR,100.00%,100.00%;KL17_09_wctS,100.00%,100.00%;KL17_10_wctT,100.00%,100.00%;KL17_11_wctU,100.00%,100.00%;KL17_12_wcaJ,100.00%,100.00%;KL17_13_wcmZ,100.00%,100.00%;KL17_14_wzx,100.00%,100.00%;KL17_15_gnd,100.00%,100.00%;KL17_16_rmlB,100.00%,100.00%;KL17_17_rmlA,100.00%,100.00%;KL17_18_rmlD,100.00%,100.00%;KL17_19_rmlC,100.00%,100.00%;KL17_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,98.67%,99.21%;KL150_19_gmd,99.10%,100.00%		
191KP-HG	KL17	K17	Typeable	?2	100.00%	100.03%	n/a	20 / 20 (100.00%)	KL17_01_galF,100.00%,100.00%;KL17_02_cpsACP,100.00%,100.00%;KL17_03_wzi,100.00%,100.00%;KL17_04_wza,100.00%,100.00%;KL17_05_wzb,100.00%,100.00%;KL17_06_wzc,100.00%,100.00%;KL17_07_wzy,100.00%,56.66%,partial;KL17_07_wzy,100.00%,43.79%,partial;KL17_08_wctR,100.00%,100.00%;KL17_09_wctS,100.00%,100.00%;KL17_10_wctT,100.00%,100.00%;KL17_11_wctU,100.00%,100.00%;KL17_12_wcaJ,100.00%,100.00%;KL17_13_wcmZ,100.00%,100.00%;KL17_14_wzx,100.00%,100.00%;KL17_15_gnd,100.00%,100.00%;KL17_16_rmlB,100.00%,100.00%;KL17_17_rmlA,100.00%,100.00%;KL17_18_rmlD,100.00%,100.00%;KL17_19_rmlC,100.00%,100.00%;KL17_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,98.67%,99.21%;KL150_19_gmd,99.10%,100.00%		
201KP-HG	KL110	unknown (KL110)	Typeable	?2!	99.67%	100.00%	n/a	20 / 20 (100.00%)	KL110_01_galF,99.33%,100.00%;KL110_02_cpsACP,99.04%,100.00%;KL110_03_wzi,99.37%,100.00%;KL110_04_wza,100.00%,100.00%;KL110_05_wzb,100.00%,100.00%;KL110_06_wzc,99.03%,100.00%;KL110_07_wcuE,99.39%,100.00%;KL110_08_wckV,100.00%,100.00%;KL110_09,99.38%,100.00%;KL110_10_wctD,100.00%,100.00%;KL110_11_wbaZ,100.00%,100.00%;KL110_12_wbaP,99.79%,100.00%;KL110_13_wcuC,99.41%,100.00%;KL110_14_wzy,100.00%,100.00%;KL110_15_wzx,99.79%,100.00%;KL110_16_wcpZ,99.09%,61.97%,truncated;KL110_17_gnd,100.00%,100.00%;KL110_18_manC,100.00%,100.00%;KL110_19_manB,100.00%,100.00%;KL110_20_ugd,99.74%,100.00%		0		0 / 20 (0.00%)		2	KL150_19_gmd,98.80%,100.00%;KL40_05_rfaG,91.11%,11.84%,partial	KL110_16_wcpZ,99.09%,61.97%,truncated	
205KP-HG	KL125	unknown (KL125)	Typeable		93.58%	99.98%	3 bp	15 / 18 (83.33%)	KL125_01_galF,98.66%,100.00%;KL125_02_cpsACP,96.65%,100.00%;KL125_03_wzi,98.33%,100.00%;KL125_04_wza,98.94%,100.00%;KL125_05_wzb,94.41%,100.00%;KL125_06_wzc,96.23%,100.00%;KL125_07_wbaP,93.05%,100.00%;KL125_08_wcaN,90.59%,100.00%;KL125_09_wzy,92.89%,100.00%;KL125_10,87.54%,100.00%;KL125_11,91.48%,100.00%;KL125_12_wcaG,92.68%,100.00%;KL125_13_wcuH,91.91%,100.00%;KL125_14_wzx,91.51%,100.00%;KL125_15,86.18%,100.00%;KL125_16,85.99%,99.81%;KL125_17_gnd,97.65%,100.00%;KL125_18_ugd,99.74%,100.00%		0		0 / 18 (0.00%)		3	KL112_16_manC,100.00%,100.00%;KL49_18_manB,99.56%,98.08%;KL150_19_gmd,99.10%,100.00%		
