klebphacol_phage,klebphacol_rbp_gene_id,boeckaerts_phage_to_exclude,boeckaerts_rbp_protein_id,identity_pct,rule
Roth79,Roth79_gp179,K65PH164,K65PH164_gp55,99.55357,rbp_identity_95
Roth51,Roth51_gp179,K65PH164,K65PH164_gp55,99.55357,rbp_identity_95
Roth68,Roth68_gp179,K65PH164,K65PH164_gp55,99.55357,rbp_identity_95
Roth76,Roth76_gp179,K65PH164,K65PH164_gp55,99.55357,rbp_identity_95
Roth80,Roth80_gp179,K65PH164,K65PH164_gp55,99.55357,rbp_identity_95
Roth20,Roth20_gp175,K65PH164,K65PH164_gp55,99.55357,rbp_identity_95
Roth19,Roth19_gp181,K65PH164,K65PH164_gp55,99.55357,rbp_identity_95
Roth66,Roth66_gp179,K65PH164,K65PH164_gp55,99.55357,rbp_identity_95
Roth16,Roth16_gp182,K65PH164,K65PH164_gp55,99.55357,rbp_identity_95
Roth34,Roth34_gp179,K65PH164,K65PH164_gp55,99.55357,rbp_identity_95
Roth01,Roth01_gp179,K65PH164,K65PH164_gp55,99.55357,rbp_identity_95
Roth10,Roth10_gp51,K28PH129,K28PH129_gp13,99.12892,rbp_identity_95
Roth71,Roth71_gp52,K28PH129,K28PH129_gp13,99.12892,rbp_identity_95
Roth09,Roth09_gp51,K28PH129,K28PH129_gp13,99.12892,rbp_identity_95
Roth84,Roth84_gp51,K28PH129,K28PH129_gp13,99.12892,rbp_identity_95
Roth83,Roth83_gp51,K28PH129,K28PH129_gp13,99.12892,rbp_identity_95
Roth17,Roth17_gp178,K65PH164,K65PH164_gp55,99.10714,rbp_identity_95
Roth21,Roth21_gp179,K65PH164,K65PH164_gp55,99.10714,rbp_identity_95
Roth49,Roth49_gp183,K30lambda2,K30lambda2_gp164,98.933334,rbp_identity_95
Roth50,Roth50_gp183,K30lambda2,K30lambda2_gp164,98.933334,rbp_identity_95
Roth37,Roth37_gp184,K30lambda2,K30lambda2_gp164,98.933334,rbp_identity_95
Roth39,Roth39_gp184,K30lambda2,K30lambda2_gp164,98.933334,rbp_identity_95
Roth16,Roth16_gp274,K65PH164,K65PH164_gp147,98.677246,rbp_identity_95
Roth04,Roth04_gp268,K65PH164,K65PH164_gp147,98.677246,rbp_identity_95
Roth21,Roth21_gp270,K65PH164,K65PH164_gp147,98.677246,rbp_identity_95
Roth78,Roth78_gp267,K65PH164,K65PH164_gp147,98.677246,rbp_identity_95
Roth77,Roth77_gp267,K65PH164,K65PH164_gp147,98.677246,rbp_identity_95
Roth17,Roth17_gp269,K65PH164,K65PH164_gp147,98.677246,rbp_identity_95
Roth67,Roth67_gp269,K65PH164,K65PH164_gp147,98.677246,rbp_identity_95
Roth37,Roth37_gp183,K30lambda2,K30lambda2_gp163,98.644066,rbp_identity_95
Roth39,Roth39_gp183,K30lambda2,K30lambda2_gp163,98.644066,rbp_identity_95
Roth50,Roth50_gp182,K30lambda2,K30lambda2_gp163,98.644066,rbp_identity_95
Roth49,Roth49_gp182,K30lambda2,K30lambda2_gp163,98.644066,rbp_identity_95
Roth37,Roth37_gp177,K32PH164C1,K32PH164C1_gp197,98.62869,rbp_identity_95
Roth39,Roth39_gp177,K32PH164C1,K32PH164C1_gp197,98.62869,rbp_identity_95
Roth50,Roth50_gp176,K32PH164C1,K32PH164C1_gp197,98.62869,rbp_identity_95
Roth49,Roth49_gp176,K32PH164C1,K32PH164C1_gp197,98.62869,rbp_identity_95
Roth08,Roth08_gp47,K52PH129C1,K52PH129C1_gp67,98.60627,rbp_identity_95
RothG,RothG_gp58,K40PH129C1,K40PH129C1_gp52,98.60051,rbp_identity_95
RothI,RothI_gp59,K40PH129C1,K40PH129C1_gp52,98.60051,rbp_identity_95
RothJ,RothJ_gp60,K40PH129C1,K40PH129C1_gp52,98.60051,rbp_identity_95
RothG,RothG_gp58,K40PH129C1,K40PH129C1_gp52,98.60051,rbp_identity_95
RothI,RothI_gp59,K40PH129C1,K40PH129C1_gp52,98.60051,rbp_identity_95
RothJ,RothJ_gp60,K40PH129C1,K40PH129C1_gp52,98.60051,rbp_identity_95
Roth75,Roth75_gp49,K28PH129,K28PH129_gp13,98.519165,rbp_identity_95
Roth74,Roth74_gp47,K28PH129,K28PH129_gp13,98.519165,rbp_identity_95
Roth24,Roth24_gp48,K28PH129,K28PH129_gp13,98.519165,rbp_identity_95
Roth87,Roth87_gp48,K28PH129,K28PH129_gp13,98.519165,rbp_identity_95
Roth30,Roth30_gp48,K28PH129,K28PH129_gp13,98.519165,rbp_identity_95
Roth42,Roth42_gp48,K28PH129,K28PH129_gp13,98.519165,rbp_identity_95
Roth85,Roth85_gp52,K52PH129C1,K52PH129C1_gp67,98.17073,rbp_identity_95
Roth72,Roth72_gp53,K52PH129C1,K52PH129C1_gp67,98.17073,rbp_identity_95
Roth96,Roth96_gp52,K52PH129C1,K52PH129C1_gp67,98.17073,rbp_identity_95
Roth93,Roth93_gp52,K52PH129C1,K52PH129C1_gp67,98.17073,rbp_identity_95
Roth61,Roth61_gp52,K52PH129C1,K52PH129C1_gp67,98.17073,rbp_identity_95
Roth47,Roth47_gp52,K52PH129C1,K52PH129C1_gp67,98.17073,rbp_identity_95
Roth19,Roth19_gp270,K65PH164,K65PH164_gp147,97.8836,rbp_identity_95
Roth20,Roth20_gp263,K65PH164,K65PH164_gp147,97.8836,rbp_identity_95
Roth79,Roth79_gp269,K65PH164,K65PH164_gp147,96.82539,rbp_identity_95
Roth80,Roth80_gp269,K65PH164,K65PH164_gp147,96.82539,rbp_identity_95
Roth76,Roth76_gp269,K65PH164,K65PH164_gp147,96.82539,rbp_identity_95
Roth68,Roth68_gp269,K65PH164,K65PH164_gp147,96.82539,rbp_identity_95
Roth34,Roth34_gp269,K65PH164,K65PH164_gp147,96.82539,rbp_identity_95
Roth01,Roth01_gp269,K65PH164,K65PH164_gp147,96.82539,rbp_identity_95
Roth66,Roth66_gp270,K65PH164,K65PH164_gp147,96.82539,rbp_identity_95
Roth51,Roth51_gp269,K65PH164,K65PH164_gp147,96.82539,rbp_identity_95
Roth20,Roth20_gp262,K65PH164,K65PH164_gp146,96.56518,rbp_identity_95
Roth19,Roth19_gp269,K65PH164,K65PH164_gp146,96.56518,rbp_identity_95
Roth16,Roth16_gp273,K65PH164,K65PH164_gp146,96.487114,rbp_identity_95
Roth17,Roth17_gp268,K65PH164,K65PH164_gp146,96.487114,rbp_identity_95
Roth21,Roth21_gp269,K65PH164,K65PH164_gp146,96.487114,rbp_identity_95
Roth67,Roth67_gp179,K65PH164,K65PH164_gp55,96.42857,rbp_identity_95
Roth77,Roth77_gp177,K65PH164,K65PH164_gp55,96.42857,rbp_identity_95
Roth04,Roth04_gp177,K65PH164,K65PH164_gp55,96.42857,rbp_identity_95
Roth78,Roth78_gp177,K65PH164,K65PH164_gp55,96.42857,rbp_identity_95
Roth67,Roth67_gp268,K65PH164,K65PH164_gp146,96.40905,rbp_identity_95
Roth77,Roth77_gp266,K65PH164,K65PH164_gp146,96.40905,rbp_identity_95
Roth78,Roth78_gp266,K65PH164,K65PH164_gp146,96.40905,rbp_identity_95
Roth04,Roth04_gp267,K65PH164,K65PH164_gp146,96.40905,rbp_identity_95
Roth49,Roth49_gp194,K30lambda2,K30lambda2_gp175,96.352585,rbp_identity_95
Roth50,Roth50_gp194,K30lambda2,K30lambda2_gp175,96.352585,rbp_identity_95
Roth39,Roth39_gp195,K30lambda2,K30lambda2_gp175,96.352585,rbp_identity_95
Roth37,Roth37_gp195,K30lambda2,K30lambda2_gp175,96.352585,rbp_identity_95
Roth87,Roth87_gp50,K2064PH2,K2064PH2_gp25,96.34703,rbp_identity_95
Roth24,Roth24_gp50,K2064PH2,K2064PH2_gp25,96.34703,rbp_identity_95
Roth75,Roth75_gp51,K2064PH2,K2064PH2_gp25,96.34703,rbp_identity_95
Roth74,Roth74_gp49,K2064PH2,K2064PH2_gp25,96.34703,rbp_identity_95
Roth30,Roth30_gp50,K2064PH2,K2064PH2_gp25,96.34703,rbp_identity_95
Roth42,Roth42_gp50,K2064PH2,K2064PH2_gp25,96.34703,rbp_identity_95
Roth66,Roth66_gp269,K65PH164,K65PH164_gp146,96.25293,rbp_identity_95
Roth51,Roth51_gp268,K65PH164,K65PH164_gp146,96.25293,rbp_identity_95
Roth79,Roth79_gp268,K65PH164,K65PH164_gp146,96.25293,rbp_identity_95
Roth68,Roth68_gp268,K65PH164,K65PH164_gp146,96.25293,rbp_identity_95
Roth80,Roth80_gp268,K65PH164,K65PH164_gp146,96.25293,rbp_identity_95
Roth34,Roth34_gp268,K65PH164,K65PH164_gp146,96.25293,rbp_identity_95
Roth76,Roth76_gp268,K65PH164,K65PH164_gp146,96.25293,rbp_identity_95
Roth01,Roth01_gp268,K65PH164,K65PH164_gp146,96.25293,rbp_identity_95
